Topicname,Tablename,Category,Tolerated,ErrorID,Description,Description2,Line,Y,X,ObjID,Num
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> SO0100000001,423,611920.927,234438.253,26,25490044
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,424,611932.340,234368.627,27,25490045
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,425,611954.979,234235.933,28,25490048
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,426,611972.930,234129.537,29,25490050
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,430,611827.369,234772.219,33,25470262
Liegenschaften,Grundstueck,warning,,CH085506,EGRIS EGRID wurde nie erfasst,,9451,,,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,611440.935,233379.170,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,611867.321,234629.445,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,611892.304,234540.931,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,611918.904,234445.783,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,611987.149,234044.928,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16258,612029.542,233781.732,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16292,611867.321,234629.445,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16292,611892.304,234540.931,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16292,611918.904,234445.783,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16292,611987.149,234044.928,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16292,612029.542,233781.732,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16323,611867.321,234629.445,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16323,611892.304,234540.931,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16323,611918.904,234445.783,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16323,611987.149,234044.928,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,16323,612029.542,233781.732,,
Gebaeudeadressen,LokalisationsName,warning,GT,CH192002,LokalisationsName muss mindestens eine LokalisationsNamePos haben,OBJID=2363,17115,,,2363,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20680,611610.881,233464.858,2448,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20680,611610.881,233464.858,2448,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,20681,611643.137,233377.020,2449,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,20681,611643.137,233377.020,2449,
