Topicname,Tablename,Category,Tolerated,ErrorID,Description,Description2,Line,Y,X,ObjID,Num
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> SO0100000001,404,611920.927,234438.253,37,25490044
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,405,611932.340,234368.627,38,25490045
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,406,611954.979,234235.933,39,25490048
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,407,611972.930,234129.537,40,25490050
FixpunkteKategorie3,LFP3,error,GT,CH030701,LFP3 muss die gleichen Attributwerte wie der Hoheitsgrenzpunkt haben,NBIdent BE0200000971 <> NULL,411,611827.369,234772.219,45,25470262
Liegenschaften,Grundstueck,warning,,CH085506,EGRIS EGRID wurde nie erfasst,,17247,,,,
Gemeindegrenzen,Gemeindegrenze Geometrie,error,,INT008,attribute Linienart has to be defined,,24657,611205.283,234499.610,5610,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,611867.321,234629.445,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,611892.304,234540.931,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,611918.904,234445.783,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,611987.149,234044.928,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,612029.542,233781.732,,
Gemeindegrenzen,Gemeindegrenze Geometrie,warning,GT,CH113002,Punkt ist kein Knickpunkt der Gemeindegrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24807,611440.935,233379.170,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24841,611867.321,234629.445,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24841,611892.304,234540.931,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24841,611918.904,234445.783,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24841,611987.149,234044.928,,
Bezirksgrenzen,Bezirksgrenzabschnitt,warning,GT,CH120101,Punkt ist kein Knickpunkt der Bezirksgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24841,612029.542,233781.732,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24872,611867.321,234629.445,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24872,611892.304,234540.931,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24872,611918.904,234445.783,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24872,611987.149,234044.928,,
Kantonsgrenzen,Kantonsgrenzabschnitt,warning,GT,CH130101,Punkt ist kein Knickpunkt der Kantonsgrenze und darum überflüssig. Ausnahme z.B. bei Geländekante,diff=0.0mm,24872,612029.542,233781.732,,
Gebaeudeadressen,LokalisationsName,warning,GT,CH192002,LokalisationsName muss mindestens eine LokalisationsNamePos haben,OBJID=1847,25884,,,1847,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29449,611610.881,233464.858,1930,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29449,611610.881,233464.858,1930,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29450,611643.137,233377.020,1931,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29450,611643.137,233377.020,1931,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29451,611533.354,233905.473,1932,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29451,611533.354,233905.473,1932,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29452,611512.035,233933.110,1933,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29452,611512.035,233933.110,1933,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29453,611548.559,233899.497,1935,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29453,611548.559,233899.497,1935,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194202,Gebäudeeingang muss eindeutig innerhalb eines Postleitzahlperimeters der Tabelle PLZ6 von Topic PLZOrtschaft liegen,,29454,611502.340,233901.842,1936,
Gebaeudeadressen,Gebaeudeeingang,warning,GT,CH194203,Gebäudeeingang muss eindeutig innerhalb eines Perimeters der Tabelle Ortschaft resp. OrtschaftsVerbund von Topic PLZOrtschaft liegen,,29454,611502.340,233901.842,1936,
